tx_status,tx_codptcoleta,tx_localizacao,dt_atualizacao,globalid,objectid,nomePraia,tipo
Própria,AD000,Centro da praia,2015/05/28 03:00:00+00,{35E75804-655F-4B6C-A8D3-9944B2950F3B},128,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/06/01 03:00:00+00,{99FDC0FC-4D7F-47E0-91DD-B0E065A7157A},129,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/06/08 03:00:00+00,{1017D68B-E6FA-4D38-933F-CC5E86FE5427},130,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/06/11 03:00:00+00,{70C25DC2-94F6-46F1-B351-9FB0C29F530D},131,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/06/15 03:00:00+00,{57560D5F-10C1-46B9-8342-DD48ACB6EBF7},132,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/06/18 03:00:00+00,{C42294BD-63FE-4966-A8B3-5FAB858DCBEA},133,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/06/22 03:00:00+00,{4877C747-F5F7-49E2-A29B-43C01BCCBA80},134,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/06/25 03:00:00+00,{75586E65-FD73-470F-984F-07F0C296119E},135,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/06/29 03:00:00+00,{5EE7482E-18C6-4CE6-98F0-F381C542D9F4},136,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/07/02 03:00:00+00,{50FE304F-EAF9-4988-98C6-47C6C4BD90FC},137,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/07/06 03:00:00+00,{156B8F01-013D-4EDE-A623-FD0DE3E6785B},138,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/07/09 03:00:00+00,{67C56EF1-4A03-4411-95E8-2262D055F6E5},139,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/07/13 03:00:00+00,{6BE9E27E-F073-4FF4-92D3-0494DF756EB3},140,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/07/16 03:00:00+00,{5574A5A4-6D29-4428-A609-C30DDEE68BEB},141,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/07/20 03:00:00+00,{8DD20E84-0849-4596-ADA2-0D726675F842},142,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/07/23 03:00:00+00,{F9C9C55C-3579-427B-A137-F11BA72AF15D},143,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/07/27 03:00:00+00,{4187E057-784B-4039-A48E-3AC921542580},144,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/07/30 03:00:00+00,{2C9A4399-BB12-4092-90F8-A244A16FDD45},145,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/08/03 03:00:00+00,{7D626C5E-423A-4E17-B614-D5AF904F693D},146,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/08/06 03:00:00+00,{DED61F16-B7A9-42CF-B7E2-25CD5F102DC5},147,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/08/10 03:00:00+00,{BEC47ADB-E8AB-4287-AC78-3D7B8F8CE561},148,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/08/13 03:00:00+00,{3CCA71A8-3075-4D33-B2B3-6D15CF68F867},149,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/08/17 03:00:00+00,{85BCC520-B552-4355-B6BF-2DA4F503DDDE},150,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/08/20 03:00:00+00,{343FE9E0-EBEF-4D66-A552-FDEBEEC108CA},151,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/08/24 03:00:00+00,{97B86BAE-0268-429B-93E0-E2C1E79BCD49},152,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/08/27 03:00:00+00,{02E7D3E0-2CFF-4192-8248-EA4F49CB3944},153,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/08/31 03:00:00+00,{6ECB1AE6-FCB2-40B8-969C-A51C4218BF95},154,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/09/03 03:00:00+00,{2A9C13E5-2A03-4683-A421-79FEF81251E1},155,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/09/08 03:00:00+00,{56077F99-7FAE-40BC-B590-235EB2373B85},156,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/09/10 03:00:00+00,{60ECA018-D836-4E89-8348-E45F75ECBE5B},157,Praia da Fortaleza,Baía de Guanabara
